news_id,start,end,trend_level,direction,grid_spacing,title
hist_202307131230_cpi,2023-07-13 12:30:00+00:00,2023-07-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202307261800_fomc,2023-07-26 18:00:00+00:00,2023-07-28 18:00:00+00:00,L3,neutral,1.2,FOMC Statement
hist_202308041230_nfp,2023-08-04 12:30:00+00:00,2023-08-05 12:30:00+00:00,L3,neutral,1.2,Nonfarm Payrolls
hist_202308131230_cpi,2023-08-13 12:30:00+00:00,2023-08-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202309011230_nfp,2023-09-01 12:30:00+00:00,2023-09-02 12:30:00+00:00,L3,neutral,1.2,Nonfarm Payrolls
hist_202309131230_cpi,2023-09-13 12:30:00+00:00,2023-09-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202309201800_fomc,2023-09-20 18:00:00+00:00,2023-09-22 18:00:00+00:00,L3,neutral,1.2,FOMC Statement
hist_202310061230_nfp,2023-10-06 12:30:00+00:00,2023-10-07 12:30:00+00:00,L3,neutral,1.2,Nonfarm Payrolls
hist_202310131230_cpi,2023-10-13 12:30:00+00:00,2023-10-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202311011800_fomc,2023-11-01 18:00:00+00:00,2023-11-03 18:00:00+00:00,L3,neutral,1.2,FOMC Statement
hist_202311031230_nfp,2023-11-03 12:30:00+00:00,2023-11-04 12:30:00+00:00,L3,neutral,1.2,Nonfarm Payrolls
hist_202311131230_cpi,2023-11-13 12:30:00+00:00,2023-11-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202312011230_nfp,2023-12-01 12:30:00+00:00,2023-12-02 12:30:00+00:00,L3,neutral,1.2,Nonfarm Payrolls
hist_202312131230_cpi,2023-12-13 12:30:00+00:00,2023-12-14 12:30:00+00:00,L3,neutral,1.2,US CPI YoY
hist_202312131800_fomc,2023-12-13 18:00:00+00:00,2023-12-15 18:00:00+00:00,L3,neutral,1.2,FOMC Statement
